"item","qty"
"SYCAMORE LANE MERLOT 1.5LT",146
"PARLIAMENT WHITE",74
"JACK DANIEL S FIRE 50ML",45
"SUPEREME ZEN GOLD 3500",42
"MILLER LITE 12OZ 12PK CANS",18
"BACARDI SUPERIOR 1.75LT",18
"FIREBALL CINNAMON WHISKY 50ML",14
"MILLER LITE 12OZ 6PK CANS",11
"RHINO 7 PLATINUM 7000",8
"DIET PEPSI 1L",7
"cock diet 2lt",7
"MILLER LITE ALUM PINTS 9PK",7
"JACK DANIEL S FIRE 375ML",7
"DIET PEPSI 2L",6
"RHINO 7 PLATINUM 9000",5
"MILLER LITE 18PK CAN 12OZ",5
"SUPREME ZEN",4
"TITO S HANDMADE REG VODKA 1.75LT",3
"SPIKED SELTZER LIME 6PK CAN",3
"CORONA LIGHT 6PK 12OZ BOT",3
"AVA GRACE MERLOT 750ML",3
"RHINO 11 PLATINUM 7000",3
"DIET PEPSI 20OZ",2
"BAREFOOT ROSE 1.5L",2
"WHITE CLAW HARD SEL LIME 6PK C",2
"DIET PEPSI 2L",2
"TROJAN ULTRA THIN",2
"SYCAMORE LANE PINOT GRIG 1.5LT",2
